,Final,Game Number,ID,Points,Round,Team Name,Rank
75,18,4,2501,1829,19,Swimming n Titch,7.0
76,18,1,11070,1623,20,Fire The Worpedo,88.5
77,18,2,25252,1809,20,Casting Crouch,10.0
78,18,3,397,1684,20,Man of Steele,52.0
79,18,4,8740,1474,20,Barbeques Treloar,148.0
80,18,1,7061,1383,21,DEVQON.1,165.0
81,18,2,11070,1713,21,Fire The Worpedo,39.0
82,18,3,25252,1618,21,Casting Crouch,90.0
83,18,4,397,1559,21,Man of Steele,116.0
84,18,1,831,1662,22,Salt&VinegarCripps,63.0
85,18,2,7061,1545,22,DEVQON.1,126.0
86,18,3,11070,1607,22,Fire The Worpedo,94.0
87,18,4,25252,1610,22,Casting Crouch,91.5
88,18,1,831,1688,23,Salt&VinegarCripps,47.0
89,17,2,7061,1464,23,DEVQON.1,153.0
90,18,3,11070,1689,23,Fire The Worpedo,46.0
91,18,4,25252,1674,23,Casting Crouch,54.0
