,Round,Match Name,Team ID,Team Name,id,Full Name,pos,team,team_opponent,pts,On Field?
4,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,262,Luke Ryan,DEF,FRE,WCE,93,True
5,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,226,David Zaharakis,MID,ESS,BRL,119,True
6,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,390,Josh Kelly,MID,GWS,GEE,114,True
7,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,808,Luke Shuey,MID,WCE,FRE,94,True
8,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,800,Jack Redden,MID,WCE,FRE,145,True
9,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,726,Marcus Bontempelli,MID,WBD,COL,127,True
10,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,91,Dayne Zorko,MID,BRL,ESS,63,True
11,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,625,Dion Prestia,MID,RIC,PTA,66,True
12,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,624,Toby Nankervis,RUC,RIC,PTA,85,True
13,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,651,Jade Gresham,FWD,STK,HAW,85,True
14,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,331,Patrick Dangerfield,FWD,GEE,GWS,66,True
15,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,454,Chad Wingard,FWD,HAW,STK,54,True
16,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,781,Jamie Cripps,FWD,WCE,FRE,75,True
17,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,564,Robbie Gray,FWD,PTA,RIC,72,True
0,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,677,Jimmy Webster,DEF,STK,HAW,66,False
1,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,636,Blake Acres,FWD,STK,HAW,105,False
2,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,616,Tom J. Lynch,FWD,RIC,PTA,103,False
3,4,Fire The Worpedo vs Swimming n Titch,2501,Swimming n Titch,248,Jesse Hogan,FWD,FRE,WCE,50,False
0,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,158,Tom Langdon,DEF,COL,WBD,80,True
1,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,130,Kade Simpson,DEF,CAR,GCS,107,True
2,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,423,Blake Hardwick,DEF,HAW,STK,66,True
3,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,741,Jason Johannisen,DEF,WBD,COL,84,True
4,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,570,Dan Houston,DEF,PTA,RIC,99,True
5,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,94,Patrick Cripps,MID,CAR,GCS,169,True
6,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,97,Ed Curnow,MID,CAR,GCS,64,True
7,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,320,Gary Ablett,MID,GEE,GWS,106,True
8,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,408,Callan Ward,MID,GWS,GEE,4,True
9,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,806,Dom Sheed,MID,WCE,FRE,65,True
10,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,77,Lachie Neale,MID,BRL,ESS,140,True
11,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,52,Jarrod Berry,MID,BRL,ESS,96,True
12,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,513,Todd Goldstein,RUC,NTH,ADE,113,True
13,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,692,Lance Franklin,FWD,SYD,MEL,80,True
14,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,544,Jack Ziebell,FWD,NTH,ADE,91,True
15,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,342,Tim Kelly,FWD,GEE,GWS,39,True
16,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,330,Luke Dahlhaus,FWD,GEE,GWS,49,True
17,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,749,Toby McLean,FWD,WBD,COL,71,True
0,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,232,Connor Blakely,DEF,FRE,WCE,0,False
1,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,116,Marc Murphy,MID,CAR,GCS,114,False
2,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,618,Dustin Martin,MID,RIC,PTA,0,False
3,4,DEVQON.1 vs Salt&VinegarCripps,831,Salt&VinegarCripps,481,Tom McDonald,FWD,MEL,SYD,80,False
0,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,714,Dane Rampe,DEF,SYD,MEL,98,True
1,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,708,Callum Mills,DEF,SYD,MEL,66,True
2,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,409,Lachie Whitfield,DEF,GWS,GEE,137,True
3,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,63,Luke Hodge,DEF,BRL,ESS,78,True
4,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,607,Brandon Ellis,DEF,RIC,PTA,127,True
5,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,139,Dayne Beams,MID,COL,WBD,0,True
6,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,167,Scott Pendlebury,MID,COL,WBD,74,True
7,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,213,Zach Merrett,MID,ESS,BRL,155,True
8,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,496,Jack Viney,MID,MEL,SYD,69,True
9,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,312,David Swallow,MID,GCS,CAR,110,True
10,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,5,Brad Crouch,MID,ADE,NTH,77,True
11,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,268,Darcy Tucker,MID,FRE,WCE,42,True
12,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,464,Max Gawn,RUC,MEL,SYD,113,True
13,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,372,Jeremy Cameron,FWD,GWS,GEE,92,True
14,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,455,James Worpel,FWD,HAW,STK,85,True
15,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,782,Jack Darling,FWD,WCE,FRE,90,True
16,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,763,Mitch Wallis,FWD,WBD,COL,68,True
17,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,605,Shane Edwards,FWD,RIC,PTA,86,True
0,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,161,Brayden Maynard,DEF,COL,WBD,55,False
1,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,630,Jayden Short,DEF,RIC,PTA,0,False
2,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,441,Jaeger O'Meara,MID,HAW,STK,0,False
3,4,Fire The Worpedo vs Swimming n Titch,11070,Fire The Worpedo,68,Jarryd Lyons,MID,BRL,ESS,58,False
0,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,155,Jeremy Howe,DEF,COL,WBD,74,True
1,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,698,Zak Jones,DEF,SYD,MEL,80,True
2,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,117,Nic Newman,DEF,CAR,GCS,94,True
3,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,410,Zac Williams,DEF,GWS,GEE,60,True
4,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,759,Matthew Suckling,DEF,WBD,COL,107,True
5,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,516,Shaun Higgins,MID,NTH,ADE,93,True
6,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,527,Jared Polec,MID,NTH,ADE,94,True
7,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,302,Touk Miller,MID,GCS,CAR,110,True
8,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,6,Matt Crouch,MID,ADE,NTH,90,True
9,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,748,Jack Macrae,MID,WBD,COL,110,True
10,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,73,Hugh McCluggage,MID,BRL,ESS,85,True
11,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,582,Sam Powell-Pepper,MID,PTA,RIC,65,True
12,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,431,Ben McEvoy,RUC,HAW,STK,80,True
13,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,641,Jack Billings,FWD,STK,HAW,126,True
14,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,695,Isaac Heeney,FWD,SYD,MEL,130,True
15,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,346,Sam Menegola,FWD,GEE,GWS,51,True
16,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,299,Jack Martin,FWD,GCS,CAR,68,True
17,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,82,Mitch Robinson,FWD,BRL,ESS,69,True
0,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,39,Brodie Smith,DEF,ADE,NTH,104,False
1,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,13,Bryce Gibbs,MID,ADE,NTH,0,False
2,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,604,Trent Cotchin,MID,RIC,PTA,0,False
3,4,Casting Crouch vs Barbeques Treloar,25252,Casting Crouch,351,Brandan Parfitt,FWD,GEE,GWS,98,False
0,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,681,Aliir Aliir,DEF,SYD,MEL,89,True
1,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,520,Jamie Macmillan,DEF,NTH,ADE,64,True
2,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,489,Christian Salem,DEF,MEL,SYD,98,True
3,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,288,Jarrod Harbrow,DEF,GCS,CAR,89,True
4,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,31,Wayne Milera,DEF,ADE,NTH,86,True
5,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,173,Steele Sidebottom,MID,COL,WBD,108,True
6,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,485,Clayton Oliver,MID,MEL,SYD,87,True
7,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,373,Stephen Coniglio,MID,GWS,GEE,104,True
8,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,405,Tim Taranto,MID,GWS,GEE,113,True
9,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,424,Ricky Henderson,MID,HAW,STK,102,True
10,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,38,Rory Sloane,MID,ADE,NTH,88,True
11,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,584,Tom Rockliff,MID,PTA,RIC,140,True
12,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,70,Stefan Martin,RUC,BRL,ESS,105,True
13,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,164,Darcy Moore,FWD,COL,WBD,65,True
14,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,223,Devon Smith,FWD,ESS,BRL,58,True
15,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,665,Jack Newnes,FWD,STK,HAW,114,True
16,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,26,Tom Lynch,FWD,ADE,NTH,62,True
17,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,548,Travis Boak,FWD,PTA,RIC,134,True
0,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,673,Shane Savage,DEF,STK,HAW,94,False
1,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,364,Zach Tuohy,DEF,GEE,GWS,0,False
2,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,676,Jack Steven,MID,STK,HAW,0,False
3,4,DEVQON.1 vs Salt&VinegarCripps,7061,DEVQON.1,661,Rowan Marshall,FWD,STK,HAW,119,False
0,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,361,Tom Stewart,DEF,GEE,GWS,124,True
1,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,399,Heath Shaw,DEF,GWS,GEE,60,True
2,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,25,Rory Laird,DEF,ADE,NTH,106,True
3,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,551,Ryan Burton,DEF,PTA,RIC,106,True
4,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,553,Darcy Byrne-Jones,DEF,PTA,RIC,61,True
5,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,222,Dylan Shiel,MID,ESS,BRL,115,True
6,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,672,Sebastian Ross,MID,STK,HAW,133,True
7,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,675,Jack Steele,MID,STK,HAW,105,True
8,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,699,Josh P. Kennedy,MID,SYD,MEL,95,True
9,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,459,Angus Brayshaw,MID,MEL,SYD,89,True
10,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,332,Mitch Duncan,MID,GEE,GWS,87,True
11,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,815,Elliot Yeo,MID,WCE,FRE,114,True
12,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,153,Brodie Grundy,RUC,COL,WBD,160,True
13,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,711,Tom Papley,FWD,SYD,MEL,70,True
14,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,732,Caleb Daniel,FWD,WBD,COL,93,True
15,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,615,Kane Lambert,FWD,RIC,PTA,72,True
16,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,258,David Mundy,FWD,FRE,WCE,151,True
17,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,576,Scott Lycett,FWD,PTA,RIC,83,True
0,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,614,Bachar Houli,DEF,RIC,PTA,0,False
1,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,168,Tom Phillips,MID,COL,WBD,116,False
2,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,466,James Harmes,MID,MEL,SYD,83,False
3,4,TryingAnewStratton vs Man of Steele,397,Man of Steele,55,Allen Christensen,FWD,BRL,ESS,64,False
0,4,TryingAnewStratton vs Man of Steele,344,TryingAnewStratton,145,Jack Crisp,DEF,COL,WBD,71,True
1,4,TryingAnewStratton vs Man of Steele,344,TryingAnewStratton,701,Jake Lloyd,DEF,SYD,MEL,109,True
2,4,TryingAnewStratton vs Man of Steele,344,TryingAnewStratton,391,Adam Kennedy,DEF,GWS,GEE,62,True
