,Round,Team ID,Team Name,Coach,wins,draws,losses,points,rank,rank_number
0,14,831,Salt&VinegarCripps,Anthony,9,0,5,36,3rd,3
0,14,7061,DEVQON.1,Lester,6,0,8,24,4th,4
0,14,11070,Fire The Worpedo,James,6,0,8,24,5th,5
0,14,8740,Barbeques Treloar,Simon,6,0,8,24,6th,6
0,14,2501,Swimming n Titch,Mark,6,0,8,24,7th,7
0,14,25252,Casting Crouch,Jordan,5,0,9,20,8th,8
0,15,344,TryingAnewStratton,Paul,10,0,5,40,1st,1
0,15,397,Man of Steele,Luke,10,0,5,40,2nd,2
0,15,831,Salt&VinegarCripps,Anthony,9,0,6,36,3rd,3
0,15,7061,DEVQON.1,Lester,7,0,8,28,4th,4
0,15,11070,Fire The Worpedo,James,7,0,8,28,5th,5
0,15,8740,Barbeques Treloar,Simon,6,0,9,24,6th,6
0,15,2501,Swimming n Titch,Mark,6,0,9,24,7th,7
0,15,25252,Casting Crouch,Jordan,5,0,10,20,8th,8
0,16,344,TryingAnewStratton,Paul,11,0,5,44,1st,1
0,16,397,Man of Steele,Luke,11,0,5,44,2nd,2
0,16,831,Salt&VinegarCripps,Anthony,10,0,6,40,3rd,3
0,16,7061,DEVQON.1,Lester,7,0,9,28,4th,4
0,16,11070,Fire The Worpedo,James,7,0,9,28,5th,5
0,16,25252,Casting Crouch,Jordan,6,0,10,24,6th,6
0,16,8740,Barbeques Treloar,Simon,6,0,10,24,7th,7
0,16,2501,Swimming n Titch,Mark,6,0,10,24,8th,8
0,17,397,Man of Steele,Luke,12,0,5,48,1st,1
0,17,344,TryingAnewStratton,Paul,12,0,5,48,2nd,2
0,17,831,Salt&VinegarCripps,Anthony,10,0,7,40,3rd,3
0,17,11070,Fire The Worpedo,James,8,0,9,32,4th,4
0,17,7061,DEVQON.1,Lester,7,0,10,28,5th,5
0,17,25252,Casting Crouch,Jordan,7,0,10,28,6th,6
0,17,8740,Barbeques Treloar,Simon,6,0,11,24,7th,7
0,17,2501,Swimming n Titch,Mark,6,0,11,24,8th,8
0,18,344,TryingAnewStratton,Paul,13,0,5,52,1st,1
0,18,397,Man of Steele,Luke,12,0,6,48,2nd,2
0,18,831,Salt&VinegarCripps,Anthony,10,0,8,40,3rd,3
0,18,11070,Fire The Worpedo,James,9,0,9,36,4th,4
0,18,7061,DEVQON.1,Lester,8,0,10,32,5th,5
0,18,25252,Casting Crouch,Jordan,8,0,10,32,6th,6
0,18,8740,Barbeques Treloar,Simon,6,0,12,24,7th,7
0,18,2501,Swimming n Titch,Mark,6,0,12,24,8th,8
0,19,397,Man of Steele,Luke,13,0,6,52,1st,1
0,19,344,TryingAnewStratton,Paul,13,0,6,52,2nd,2
0,19,831,Salt&VinegarCripps,Anthony,10,0,9,40,3rd,3
0,19,7061,DEVQON.1,Lester,9,0,10,36,4th,4
0,19,25252,Casting Crouch,Jordan,9,0,10,36,5th,5
0,19,11070,Fire The Worpedo,James,9,0,10,36,6th,6
0,19,2501,Swimming n Titch,Mark,7,0,12,28,7th,7
0,19,8740,Barbeques Treloar,Simon,6,0,13,24,8th,8
0,20,344,TryingAnewStratton,Paul,14,0,6,56,1st,1
0,20,397,Man of Steele,Luke,13,0,7,52,2nd,2
0,20,831,Salt&VinegarCripps,Anthony,11,0,9,44,3rd,3
0,20,25252,Casting Crouch,Jordan,10,0,10,40,4th,4
0,20,7061,DEVQON.1,Lester,9,0,11,36,5th,5
0,20,11070,Fire The Worpedo,James,9,0,11,36,6th,6
0,20,2501,Swimming n Titch,Mark,8,0,12,32,7th,7
0,20,8740,Barbeques Treloar,Simon,6,0,14,24,8th,8
0,21,344,TryingAnewStratton,Paul,15,0,6,60,1st,1
0,21,397,Man of Steele,Luke,13,0,8,52,2nd,2
0,21,831,Salt&VinegarCripps,Anthony,12,0,9,48,3rd,3
0,21,25252,Casting Crouch,Jordan,10,0,11,40,4th,4
0,21,7061,DEVQON.1,Lester,9,0,12,36,5th,5
0,21,11070,Fire The Worpedo,James,9,0,12,36,6th,6
0,21,2501,Swimming n Titch,Mark,9,0,12,36,7th,7
0,21,8740,Barbeques Treloar,Simon,7,0,14,28,8th,8
0,22,344,TryingAnewStratton,Paul,16,0,6,64,1st,1
0,22,397,Man of Steele,Luke,14,0,8,56,2nd,2
0,22,831,Salt&VinegarCripps,Anthony,12,0,9,48,3rd,3
0,22,25252,Casting Crouch,Jordan,10,0,11,40,4th,4
0,23,11070,Man of Steele,Luke,15,0,8,60,1st,1
0,23,7061,TryingAnewStratton,Paul,16,0,7,64,2nd,2
