,id,feed_id,ln,fn,fi,pos,pos2,posn,pos2n,team_id,team,teamfull,pic,gs,rds,avg,mp,tmp,tog,ppm,tppm,avg3,avg5,form,pts,tpts,livepts,mvp,rank,lrank,rank_change,rdrank,ski,tski,sha,tsha,sma,tsma,sta,tsta,sfk,tsfk,sfa,tsfa,shi,tshi,sgl,tsgl,sbh,tsbh,status,status_comment,std,sels,selspct,selspctraw,opp,team_played_status,hot,cold,phot,pcold,ccow,wele,rd,index,p1,p2,p3,kickoff_time,match_status,team_opponent,played_status,fn_i,points,proj_points,stats.kicks,stats.handballs,stats.marks,stats.tackles,stats.freekicks_for,stats.freekicks_against,stats.hitouts,stats.goals,stats.behinds,Round,Match Name,Match Name with Team Name,Team ID,Team Name,Coach,Full Name,On Field?
8,94,990704,Cripps,Patrick,P,MID,,Midfielder,,3,CAR,Carlton,TRUE,1,15,116.33,108,1668,111.2,0.675925926,1.04616307,88.67,109.8,109.8,73,1745,152,4803.438395,24,22,-2,200,4,144,14,261,2,50,4,92,2,34,-5,-32,0,0,1,11,0,6,none,,,3741,10.00%,9.962716378,GEE,post,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,18,10,M,I,D,1566628500,WIN &lt;br&gt;99 - 75,GCS,post,P,73,104,4,14,2,4,2,-5,0,1,0,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Patrick Cripps,TRUE
9,97,270146,Curnow,Ed,E,MID,,Midfielder,,3,CAR,Carlton,TRUE,1,17,83.82,94,1782,104.8235294,1.234042553,0.7996633,114.67,98,98,116,1425,80,5879.017544,87,100,13,29,16,195,16,165,9,78,5,79,1,11,-1,-17,0,0,0,8,0,7,none,,,3090,8.20%,8.229027963,GEE,post,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,18,11,M,I,D,1566628500,WIN &lt;br&gt;99 - 75,GCS,post,E,116,100,16,16,9,5,1,-1,0,0,0,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Ed Curnow,TRUE
10,356,250321,Selwood,Joel,J,MID,,Midfielder,,7,GEE,Geelong,TRUE,1,15,87.13,89,1450,96.66666667,0.95505618,0.90137931,84.33,85.6,85.6,85,1307,145,5021.040551,126,131,5,122,10,187,8,138,3,55,9,58,4,27,0,-18,0,0,0,4,2,5,none,,,3388,9.00%,9.022636485,CAR,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,12,M,I,D,1566628500,LOSS &lt;br&gt;61 - 85,HAW,post,J,85,80,10,8,3,9,4,0,0,0,2,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Joel Selwood,TRUE
11,740,294557,Hunter,Lachie,L,MID,,Midfielder,,15,WBD,Western Bulldogs,TRUE,1,17,95.06,118,1853,109,0.347457627,0.872099298,109.67,94,94,41,1616,93,5250.433168,41,30,-11,362,11,239,3,214,6,114,4,42,0,18,0,-7,0,0,0,3,1,6,none,,,3595,9.60%,9.573901465,ADE,post,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,18,14,M,I,D,1566702600,LOSS &lt;br&gt;89 - 116,STK,post,L,41,82,11,3,6,4,0,0,0,0,1,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Lachie Hunter,TRUE
12,70,280763,Martin,Stefan,S,RUC,,Ruck,,2,BRL,Brisbane,TRUE,1,17,92.71,105,1759,103.4705882,1.028571429,0.895963616,99,108.6,108.6,108,1576,68,5407.423858,50,50,0,41,7,147,7,119,1,40,3,41,0,33,0,-20,27,468,0,4,0,4,none,,,3570,9.50%,9.507323569,RIC,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,17,R,U,C,1566710400,WIN &lt;br&gt;87 - 75,NTH,post,S,108,110,7,7,1,3,0,0,27,0,0,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Stefan Martin,TRUE
13,711,996765,Papley,Tom,T,FWD,,Forward,,14,SYD,Sydney,TRUE,1,17,80.82,98,1759,103.4705882,0.724489796,0.78112564,71,77.2,77.2,71,1374,30,4950.291121,103,102,-1,213,18,202,5,82,6,86,1,50,0,20,0,-19,0,0,1,28,3,24,none,,,1462,3.90%,3.893475366,STK,post,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,18,18,F,W,D,1566618300,LOSS &lt;br&gt;51 - 52,FRE,post,T,71,74,18,5,6,1,0,0,0,1,3,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Tom Papley,TRUE
14,544,280944,Ziebell,Jack,J,FWD,,Forward,,9,NTH,North Melbourne,TRUE,1,17,89.35,96,1793,105.4705882,0.677083333,0.847183491,82.67,89.8,89.8,65,1519,70,5483.870968,58,53,-5,252,12,225,8,119,6,63,2,84,0,24,-1,-21,0,0,0,18,0,12,none,,,3290,8.80%,8.761651132,MEL,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,19,F,W,D,1566619800,LOSS &lt;br&gt;75 - 87,BRL,post,J,65,105,12,8,6,2,0,-1,0,0,0,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Jack Ziebell,TRUE
15,121,994539,Petrevski-Seton,Sam,S,FWD,,Forward,,3,CAR,Carlton,TRUE,1,17,83.94,99,1673,98.41176471,0.939393939,0.852958757,77,91,91,93,1427,76,5108.339173,85,88,3,88,14,187,8,150,5,67,4,77,1,11,-1,-17,0,0,0,4,0,4,none,,,1616,4.30%,4.303595206,GEE,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,20,F,W,D,1566628500,WIN &lt;br&gt;99 - 75,GCS,post,S,93,98,14,8,5,4,1,-1,0,0,0,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Sam Petrevski-Seton,TRUE
16,337,261510,Hawkins,Tom,T,FWD,,Forward,,7,GEE,Geelong,TRUE,1,17,86.24,121,1911,112.4117647,0.760330579,0.767137624,65.67,58.4,58.4,92,1466,152,4071.418827,74,75,1,91,11,139,6,80,6,84,0,33,0,9,-3,-17,2,19,2,42,2,19,none,,,3622,9.60%,9.645805593,CAR,post,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,18,21,F,W,D,1566628500,LOSS &lt;br&gt;61 - 85,HAW,post,T,92,56,11,6,6,0,0,-3,2,2,2,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Tom Hawkins,TRUE
17,627,250395,Riewoldt,Jack,J,FWD,,Forward,,12,RIC,Richmond,TRUE,1,5,69.4,95,492,98.4,0.789473684,0.705284553,88,69.4,69.4,75,347,44,6276.657061,457,474,17,185,10,42,0,13,5,18,1,7,1,5,-1,-6,0,1,3,7,1,4,none,,,2572,6.80%,6.849533955,BRL,post,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,18,22,F,W,D,1566710400,WIN &lt;br&gt;101 - 63,PTA,post,J,75,85,10,0,5,1,1,-1,0,3,1,18,Jordan vs Simon,Casting Crouch vs Barbeques Treloar,8740,Barbeques Treloar,Simon,Jack Riewoldt,TRUE
