,Team Name,Coach,Round_x,Full Name_x,pts,Match Name,Fanfooty Match ID
588,Salt&VinegarCripps,Anthony,4,Callan Ward,4,DEVQON.1 vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6930
602,DEVQON.1,Lester,4,Tom Lynch,62,DEVQON.1 vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6933
650,Fire The Worpedo,James,4,Brad Crouch,77,Fire The Worpedo vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=6933
707,DEVQON.1,Lester,5,Wayne Milera,41,DEVQON.1 vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6944
730,Barbeques Treloar,Simon,5,Harris Andrews,60,DEVQON.1 vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6937
888,DEVQON.1,Lester,6,Rory Lobb,75,DEVQON.1 vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=6952
889,DEVQON.1,Lester,6,Devon Smith,35,DEVQON.1 vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=6947
906,Casting Crouch,Jordan,6,Nic Newman,57,DEVQON.1 vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=6953
927,Man of Steele,Luke,6,Ryan Burton,64,Salt&VinegarCripps vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=6948
950,Salt&VinegarCripps,Anthony,6,Kade Simpson,35,Salt&VinegarCripps vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=6953
976,Swimming n Titch,Mark,6,Robbie Gray,54,Swimming n Titch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6948
982,Swimming n Titch,Mark,6,Harry Cunningham,77,Swimming n Titch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6951
1037,Fire The Worpedo,James,6,Luke Hodge,52,TryingAnewStratton vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=6949
1038,Fire The Worpedo,James,6,Lachie Whitfield,45,TryingAnewStratton vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=6951
1048,Fire The Worpedo,James,6,Jack Viney,73,TryingAnewStratton vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=6946
1060,Man of Steele,Luke,7,Bachar Houli,71,Barbeques Treloar vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=6959
1079,Barbeques Treloar,Simon,7,Nick Vlastuin,77,Barbeques Treloar vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=6959
1094,Barbeques Treloar,Simon,7,Harry Cunningham,52,Barbeques Treloar vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=6958
1153,Swimming n Titch,Mark,7,Patrick Dangerfield,26,Swimming n Titch vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=6962
1203,TryingAnewStratton,Paul,7,Taylor Adams,60,TryingAnewStratton vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6955
1280,Man of Steele,Luke,8,Ryan Burton,6,Man of Steele vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=6969
1291,Man of Steele,Luke,8,Jack Steele,78,Man of Steele vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=6968
1313,Casting Crouch,Jordan,8,Matt Crouch,54,Man of Steele vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=6969
1372,TryingAnewStratton,Paul,8,Zac Fisher,55,TryingAnewStratton vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6966
1389,Salt&VinegarCripps,Anthony,8,Jeremy McGovern,71,TryingAnewStratton vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6968
1402,Salt&VinegarCripps,Anthony,8,Jarrod Berry,70,TryingAnewStratton vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6965
1476,Casting Crouch,Jordan,9,Zac Williams,75,Casting Crouch vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=6981
1477,Casting Crouch,Jordan,9,Zak Jones,46,Casting Crouch vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=6978
1491,Casting Crouch,Jordan,9,Ben McEvoy,39,Casting Crouch vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=6980
1522,DEVQON.1,Lester,9,Christian Salem,59,Man of Steele vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6973
1556,TryingAnewStratton,Paul,9,Marc Murphy,18,TryingAnewStratton vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=6981
1600,Salt&VinegarCripps,Anthony,10,Stephen Coniglio,76,Casting Crouch vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6988
1637,DEVQON.1,Lester,10,Daniel Wells,64,Fire The Worpedo vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6982
1642,DEVQON.1,Lester,10,Tom Rockliff,72,Fire The Worpedo vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6983
1666,Fire The Worpedo,James,10,George Hewett,31,Fire The Worpedo vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6982
1687,Man of Steele,Luke,10,Dylan Shiel,68,Man of Steele vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=6987
1688,Man of Steele,Luke,10,Josh P. Kennedy,68,Man of Steele vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=6982
1768,Barbeques Treloar,Simon,11,Jack Gunston,61,Casting Crouch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6995
1791,Casting Crouch,Jordan,11,Chad Wingard,43,Casting Crouch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6995
1842,DEVQON.1,Lester,11,Rory Sloane,35,DEVQON.1 vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6996
1873,Fire The Worpedo,James,11,Lachie Whitfield,65,Fire The Worpedo vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=6993
1901,TryingAnewStratton,Paul,11,Toby Greene,60,TryingAnewStratton vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=6993
1918,Man of Steele,Luke,11,Jamie Macmillan,47,TryingAnewStratton vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=6991
1923,Man of Steele,Luke,11,David Mundy,40,TryingAnewStratton vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=6992
1938,DEVQON.1,Lester,12,Jarrad McVeigh,68,DEVQON.1 vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=7004
2084,TryingAnewStratton,Paul,12,Shaun Higgins,11,TryingAnewStratton vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=7002
2149,Casting Crouch,Jordan,13,Ed Curnow,39,DEVQON.1 vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=7010
2167,Man of Steele,Luke,13,David Armitage,67,Salt&VinegarCripps vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=7008
2168,Man of Steele,Luke,13,Dylan Shiel,61,Salt&VinegarCripps vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=7007
2238,Barbeques Treloar,Simon,13,Tom Liberatore,30,Swimming n Titch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=7010
2252,TryingAnewStratton,Paul,13,Matt de Boer,47,TryingAnewStratton vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7011
2270,Fire The Worpedo,James,13,Jeremy Finlayson,56,TryingAnewStratton vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7011
2290,Man of Steele,Luke,14,Jeremy Howe,23,Barbeques Treloar vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=7017
2339,Salt&VinegarCripps,Anthony,14,Lance Franklin,52,Salt&VinegarCripps vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7013
2340,Salt&VinegarCripps,Anthony,14,Luke Dahlhaus,39,Salt&VinegarCripps vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7016
2450,DEVQON.1,Lester,14,Tim Kelly,76,TryingAnewStratton vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=7016
2480,Barbeques Treloar,Simon,15,Brayden Sier,13,Barbeques Treloar vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7022
2481,Barbeques Treloar,Simon,15,Tom Bellchambers,67,Barbeques Treloar vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7018
2495,Fire The Worpedo,James,15,Oscar McInerney,22,Barbeques Treloar vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7025
2503,Fire The Worpedo,James,15,Max Gawn,46,Barbeques Treloar vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7025
2627,Salt&VinegarCripps,Anthony,15,Charlie Curnow,5,TryingAnewStratton vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7026
2648,Salt&VinegarCripps,Anthony,16,Luke Dahlhaus,64,Barbeques Treloar vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7031
2677,Barbeques Treloar,Simon,16,Nat Fyfe,76,Barbeques Treloar vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7032
2678,Barbeques Treloar,Simon,16,Joel Selwood,69,Barbeques Treloar vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7031
2731,Man of Steele,Luke,16,Alex Keath,74,Man of Steele vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=7030
2737,Man of Steele,Luke,16,Josh Battle,4,Man of Steele vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=7034
2824,Salt&VinegarCripps,Anthony,17,Toby McLean,16,Casting Crouch vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7043
2825,Salt&VinegarCripps,Anthony,17,Darcy Moore,13,Casting Crouch vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7036
2832,Salt&VinegarCripps,Anthony,17,Stephen Coniglio,0,Casting Crouch vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7042
2847,Casting Crouch,Jordan,17,Patrick Lipinski,58,Casting Crouch vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7043
2864,DEVQON.1,Lester,17,Michael Hurley,32,Fire The Worpedo vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=7039
2930,Swimming n Titch,Mark,17,Ryan Burton,41,Man of Steele vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=7044
2935,Swimming n Titch,Mark,17,Jamie Cripps,9,Man of Steele vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=7036
2992,Barbeques Treloar,Simon,18,Steven May,69,Casting Crouch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=7052
3005,Barbeques Treloar,Simon,18,Patrick Cripps,73,Casting Crouch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=7047
3018,Casting Crouch,Jordan,18,Matthew Suckling,66,Casting Crouch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=7053
3038,Salt&VinegarCripps,Anthony,18,Jeremy McGovern,75,DEVQON.1 vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7052
3075,DEVQON.1,Lester,18,Matthew Kreuzer,53,DEVQON.1 vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7047
3096,Swimming n Titch,Mark,18,Jack Viney,52,Fire The Worpedo vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=7052
3111,Fire The Worpedo,James,18,Jarman Impey,19,Fire The Worpedo vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=7051
3147,Man of Steele,Luke,18,Tom Stewart,79,TryingAnewStratton vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=7051
3272,Salt&VinegarCripps,Anthony,19,Trent Cotchin,41,Salt&VinegarCripps vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=7054
3282,Swimming n Titch,Mark,19,Luke Ryan,48,Salt&VinegarCripps vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=7060
3353,DEVQON.1,Lester,20,Darcy Parish,26,DEVQON.1 vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=7064
3448,Swimming n Titch,Mark,20,Dayne Zorko,61,Swimming n Titch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=7071
3458,Barbeques Treloar,Simon,20,Grant Birchall,57,Swimming n Titch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=7063
3461,Barbeques Treloar,Simon,20,Harry Himmelberg,70,Swimming n Titch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=7065
3469,Barbeques Treloar,Simon,20,Tom Liberatore,63,Swimming n Titch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=7071
3502,Fire The Worpedo,James,20,Adam Saad,48,TryingAnewStratton vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7064
3568,Salt&VinegarCripps,Anthony,21,Brad Sheppard,46,Salt&VinegarCripps vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7080
3645,Casting Crouch,Jordan,21,Anthony Miles,55,Swimming n Titch vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=7075
3681,DEVQON.1,Lester,21,Lincoln McCarthy,57,TryingAnewStratton vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=7075
