Player ID,First Name,Last Name,Pos1,Pos2,Team,Playing Next,In 2 Rds,In 3 Rds,Playing Next,Owner,Waiver,Free Agent,Trade Status,Total Pts,Rds,Rd Pts,Avg,Avg 3,Avg 5,Status Comment,Player Note
80,Daniel,Rich,DEF,,BRL,N/A,N/A,N/A,Swimming n Titch,,,owner,2130,22,103,96.82,105,99.4,N/A,N/A,
25,Rory,Laird,DEF,,ADE,N/A,N/A,N/A,Man of Steele,,,owner,2130,22,104,96.82,90,98.4,N/A,Laird had a solid JLT series showing that he hasn't lost any of his scoring power. He will be a popular selection again this year.,
740,Lachie,Hunter,MID,,WBD,N/A,N/A,N/A,Barbeques Treloar,,,owner,2096,22,97,95.27,110.67,96,N/A,N/A,
466,James,Harmes,MID,,MEL,N/A,N/A,N/A,TryingAnewStratton,,,owner,2092,22,95,95.09,90.33,93.2,N/A,N/A,
806,Dom,Sheed,MID,,WCE,N/A,N/A,N/A,Salt&VinegarCripps,,,owner,2091,22,75,95.05,77.67,80.6,N/A,Sheed has had a fantastic start to the season which he has continued into round one. His 38 touches included 10 clearances and 21 of the touches were contested. He is getting the job done in the midfield but it will be interesting to see what happens when Gaff comes back.,
424,Ricky,Henderson,MID,,HAW,N/A,N/A,N/A,Swimming n Titch,,,owner,2086,22,111,94.82,90.33,82.6,N/A,N/A,
82,Mitch,Robinson,FWD,MID,BRL,N/A,N/A,N/A,Casting Crouch,,,owner,2077,22,104,94.41,108.67,111.8,N/A,N/A,
695,Isaac,Heeney,FWD,MID,SYD,N/A,N/A,N/A,Casting Crouch,,,owner,2069,22,54,94.05,82.67,94.4,N/A,Heeney has been a popular selection over the past couple of seasons and he has started this one well with 19 touches at 78% however just 6 of those were kicks which stalled his scoring a bit.,
450,James,Sicily,DEF,,HAW,N/A,N/A,N/A,TryingAnewStratton,,,owner,2064,22,124,93.82,103.67,95.6,N/A,Sicily was great with 10 marks and a kick to handball ratio of 22 to 4 which is what we like to see.,
641,Jack,Billings,FWD,,STK,N/A,N/A,N/A,Casting Crouch,,,owner,2064,22,44,93.82,76.33,79,N/A,Billings didn't get off to a great start but it was better than all but one of his games before the byes last year. His 28 touches were good and he had 4 marks. Importantly his 82% efficiency helped boost that score. Just one Saint went over 100 so don't despair with him just yet.,
222,Dylan,Shiel,MID,,ESS,N/A,N/A,N/A,Man of Steele,,,owner,2046,21,61,97.43,89.67,99,N/A,Shiel was one of only two Bombers to crack the 100 point mark. He had 25 touches with 18 of them being contested. He was one of few shining lights for the Bombers.,
714,Dane,Rampe,DEF,,SYD,N/A,N/A,N/A,Fire The Worpedo,,,owner,2041,21,79,97.19,96.33,96,N/A,N/A,
410,Zac,Williams,DEF,,GWS,N/A,N/A,N/A,TryingAnewStratton,,,owner,2032,20,100,101.6,100.67,99.2,N/A,Williams didn't play much JLT at all but did manage 82 points in his 53% of JLT1. He was rested in JLT2  and if named he could still be well worth a selection.,
70,Stefan,Martin,RUC,,BRL,N/A,N/A,N/A,Barbeques Treloar,,,owner,2030,22,85,92.27,103.33,90.8,N/A,Stef had a good return from just 13 touches and 17 hitouts. As an alternative to the big two he scored well. Hopefully he can keep this up and improve from here.,
699,Josh P.,Kennedy,MID,,SYD,N/A,N/A,N/A,Man of Steele,,,owner,2026,19,178,106.63,121.33,109.2,N/A,N/A,
320,Gary,Ablett,MID,,GEE,N/A,N/A,N/A,Salt&VinegarCripps,,,owner,2009,21,167,95.67,121,105,N/A,Ablett was talked up to be more of a forward this season and that is how things panned out. But he did still spend some time in the midfield. 23 touches and 2 goals was a solid game for him but he did give away 3 free kicks.,
614,Bachar,Houli,DEF,,RIC,N/A,N/A,N/A,Man of Steele,,,owner,2000,19,110,105.26,119,118.2,N/A,N/A,
618,Dustin,Martin,MID,,RIC,N/A,N/A,N/A,Salt&VinegarCripps,,,owner,2000,20,108,100,126,117.2,N/A,Dusty had 30 touches and half of these were contested. He scored well but did look a bit rusty at times and got caught when normally he would get away. Look for a much better season from Dusty.,
544,Jack,Ziebell,FWD,,NTH,N/A,N/A,N/A,Barbeques Treloar,,,owner,1999,22,100,90.86,96.67,96,N/A,N/A,
97,Ed,Curnow,MID,,CAR,N/A,N/A,N/A,Barbeques Treloar,,,owner,1998,22,126,90.82,133,114.6,N/A,Curnow took 12 marks against the Tigers. He also had 25 touches to go with them. He had a good game and was 4th equal top score or the Blues.,
173,Steele,Sidebottom,MID,,COL,N/A,N/A,N/A,DEVQON.1,,,owner,1980,21,0,94.29,99,96.6,N/A,N/A,
73,Hugh,McCluggage,MID,,BRL,N/A,N/A,N/A,Casting Crouch,,,owner,1975,21,112,94.05,102.67,100.6,N/A,McCluggage hit 114 points from his 20 touches at 85%. Many have suspected that he could score like this and hopefully this is the start of a great season for him.,
6,Matt,Crouch,MID,,ADE,N/A,N/A,N/A,Casting Crouch,,,owner,1970,19,134,103.68,117,109.2,N/A,Crouch was great and had the second best score for the Crows from 40 touches and just under half of them were contested. He is a supercoach machine and well worth being in your side.,
788,Shannon,Hurn,DEF,,WCE,N/A,N/A,N/A,TryingAnewStratton,,,owner,1967,19,89,103.53,83,84.2,N/A,Hurn had a great JLT with 111 and 89. Not many people are talking about him and if you want a unique down back he could be your man.,
258,David,Mundy,FWD,MID,FRE,N/A,N/A,N/A,Man of Steele,,,owner,1959,22,70,89.05,76.33,74.2,N/A,N/A,
145,Jack,Crisp,DEF,,COL,N/A,N/A,N/A,TryingAnewStratton,,,owner,1956,22,92,88.91,80.67,81.4,N/A,N/A,
39,Brodie,Smith,DEF,,ADE,N/A,N/A,N/A,Casting Crouch,,,owner,1950,22,89,88.64,90,91.2,N/A,Smith was solid for his 81 points from 21 touches. His role may change a little with Doedee out but there is nothing to worry about there.,
312,David,Swallow,MID,,GCS,N/A,N/A,N/A,Fire The Worpedo,,,owner,1940,22,71,88.18,96.67,95,N/A,N/A,
696,George,Hewett,MID,,SYD,N/A,N/A,N/A,Fire The Worpedo,,,owner,1935,22,79,87.95,76.67,77.4,N/A,N/A,
117,Nic,Newman,DEF,,CAR,N/A,N/A,N/A,Casting Crouch,,,owner,1933,20,84,96.65,94.67,105.4,N/A,Newman had a lackluster preseason campaign which saw him exit a lot of Supercoach teams. But he turned it on with 21 of his 26 touches by foot as well as 9 marks. He won't change price for another week yet so wait and see how he goes this week before getting him in.,
527,Jared,Polec,MID,,NTH,N/A,N/A,N/A,Man of Steele,,,owner,1930,22,118,87.73,90.33,91,N/A,Polec had a good first game for the Roos and finished the day with 27 touches 7 marks and a tackle. If the Roos can get back on track he could improve his scoring from this effort.,
553,Darcy,Byrne-Jones,DEF,,PTA,N/A,N/A,N/A,Fire The Worpedo,,,owner,1918,22,97,87.18,71.33,83.4,N/A,N/A,
634,Nick,Vlastuin,DEF,,RIC,N/A,N/A,N/A,Barbeques Treloar,,,owner,1916,21,106,91.24,102,102.6,N/A,N/A,
133,Sam,Walsh,MID,,CAR,N/A,N/A,N/A,Man of Steele,,,owner,1912,22,73,86.91,66.33,79.2,N/A,Walsh didn't let down those coaches that paid the extra price for him. 24 possessions and 6 marks on debut certainly paid off. His score could have been higher as only half of his touches were effective but he will only get better which is great for owners.,
675,Jack,Steele,MID,,STK,N/A,N/A,N/A,Man of Steele,,,owner,1900,20,98,95,84.33,99,N/A,Steele was the  best for the Saints and it was the 10 tackles that really helped to go with his 22 touches. He was the only Saint to hit the 100+ mark.,
