,Round,Game Number,ID,Team Name,Coach,Final,Points,Rank,Opponent ID,Opponent Team Name,Opponent Coach,Opponent Final,Opponent Points,Opponent Rank
44,12,1,344,TryingAnewStratton,Paul,13,1053,7,25252,Casting Crouch,Jordan,15,1262,5
45,12,2,397,Man of Steele,Luke,11,1020,8,11070,Fire The Worpedo,James,14,1256,6
51,13,4,2501,Swimming n Titch,Mark,17,1467,1,8740,Barbeques Treloar,Simon,17,1326,5
49,13,2,25252,Casting Crouch,Jordan,16,1418,2,7061,DEVQON.1,Lester,15,1353,4
48,13,1,344,TryingAnewStratton,Paul,14,1395,3,11070,Fire The Worpedo,James,15,1225,7
49,13,2,7061,DEVQON.1,Lester,15,1353,4,25252,Casting Crouch,Jordan,16,1418,2
51,13,4,8740,Barbeques Treloar,Simon,17,1326,5,2501,Swimming n Titch,Mark,17,1467,1
50,13,3,831,Salt&VinegarCripps,Anthony,14,1288,6,397,Man of Steele,Luke,13,1133,8
48,13,1,11070,Fire The Worpedo,James,15,1225,7,344,TryingAnewStratton,Paul,14,1395,3
50,13,3,397,Man of Steele,Luke,13,1133,8,831,Salt&VinegarCripps,Anthony,14,1288,6
54,14,3,2501,Swimming n Titch,Mark,17,1624,1,25252,Casting Crouch,Jordan,16,1486,2
54,14,3,25252,Casting Crouch,Jordan,16,1486,2,2501,Swimming n Titch,Mark,17,1624,1
55,14,4,397,Man of Steele,Luke,15,1465,3,8740,Barbeques Treloar,Simon,12,827,8
52,14,1,344,TryingAnewStratton,Paul,16,1374,4,7061,DEVQON.1,Lester,16,1365,5
52,14,1,7061,DEVQON.1,Lester,16,1365,5,344,TryingAnewStratton,Paul,16,1374,4
53,14,2,831,Salt&VinegarCripps,Anthony,17,1360,6,11070,Fire The Worpedo,James,15,1284,7
53,14,2,11070,Fire The Worpedo,James,15,1284,7,831,Salt&VinegarCripps,Anthony,17,1360,6
55,14,4,8740,Barbeques Treloar,Simon,12,827,8,397,Man of Steele,Luke,15,1465,3
57,15,2,7061,DEVQON.1,Lester,18,1845,1,2501,Swimming n Titch,Mark,18,1684,2
57,15,2,2501,Swimming n Titch,Mark,18,1684,2,7061,DEVQON.1,Lester,18,1845,1
59,15,4,397,Man of Steele,Luke,18,1663,3,25252,Casting Crouch,Jordan,18,1548,6
58,15,3,11070,Fire The Worpedo,James,18,1608,4,8740,Barbeques Treloar,Simon,18,1569,5
58,15,3,8740,Barbeques Treloar,Simon,18,1569,5,11070,Fire The Worpedo,James,18,1608,4
59,15,4,25252,Casting Crouch,Jordan,18,1548,6,397,Man of Steele,Luke,18,1663,3
56,15,1,344,TryingAnewStratton,Paul,18,1525,7,831,Salt&VinegarCripps,Anthony,18,1517,8
56,15,1,831,Salt&VinegarCripps,Anthony,18,1517,8,344,TryingAnewStratton,Paul,18,1525,7
60,16,1,344,TryingAnewStratton,Paul,18,1796,1,2501,Swimming n Titch,Mark,18,1738,3
61,16,2,831,Salt&VinegarCripps,Anthony,18,1787,2,8740,Barbeques Treloar,Simon,18,1525,6
60,16,1,2501,Swimming n Titch,Mark,18,1738,3,344,TryingAnewStratton,Paul,18,1796,1
63,16,4,25252,Casting Crouch,Jordan,18,1610,4,11070,Fire The Worpedo,James,17,1370,8
